tpl.gain_armor_on_use_help_card	Implemented	[使用时] 玩家获得5点护甲
tpl.heal_player_on_use_help_card	Implemented	[使用时] 恢复10点血量
tpl.help.armor_breaking_hammer.use	Implemented	[使用时] 将目标怪物卡护甲降低10点
tpl.help.blood_conversion.use	Implemented	[使用时] 扣除5点血量上限并随机获得攻击+1、护甲+1、50金币或随机遗物
tpl.help.bomb.use	Implemented	[使用时] 对所有怪物卡造成4点伤害
tpl.help.brutality_card.use	Implemented	[使用时] 玩家下一次对怪物造成的战斗伤害翻倍
tpl.help.doubling_tower.board_monster	Implemented	[场上] 处于格1时，对怪物卡使用的帮助卡触发两次
tpl.help.doubling_tower.item_player	Implemented	[道具牌格] 对玩家卡使用的帮助卡生效两次，触发后永久移除本卡
tpl.help.fireball.use	Implemented	[使用时] 对目标怪物卡造成等同于玩家攻击的伤害
tpl.help.food_card.use	Implemented	[使用时] 将玩家卡血量回满
tpl.help.gold_card.use	Implemented	[使用时] 为玩家提供50金币
tpl.help.impact_tutorial.use	Implemented	[使用时] 对目标怪物卡造成等同于玩家当前血量的伤害
tpl.help.kidnapping.use	Implemented	[使用时] 移除一张非精英非层主怪物卡，并获得等同于其当前护甲的护甲
tpl.help.rotation_wheel.use	Implemented	[使用时] 逆时针旋转一次
tpl.help.shield_bash_tutorial.use	Implemented	[使用时] 对目标怪物卡造成等同于玩家当前护甲的伤害
tpl.help.stat_boost_card.use	Implemented	[使用时] 选择攻击+1、护甲+1或血量上限与当前血量+2
tpl.help.swap_card.use	Implemented	[使用时] 选择除玩家卡外的两张卡牌互换所在格子位置
tpl.help.teleport_card.use	Implemented	[使用时] 选择除玩家卡外的一张卡牌洗回战斗卡组
tpl.help.throwing_knife.use	Implemented	[使用时] 对目标怪物卡造成6点伤害
tpl.help.ward_magic_card.use	Implemented	[使用时] 下一次玩家受到伤害时，该次伤害变为0
tpl.help.watchtower.board_corner	Implemented	[场上] 移动到角格时，对随机怪物造成3点伤害；触发4次后移除本卡
tpl.help.watchtower.item_battle	Implemented	[道具牌格] 玩家与怪物战斗时，对随机一张怪物卡造成2点伤害
tpl.relic.arsenal.node_end	Implemented	[每关卡结束时] 加入飞刀/爆弹/破击锤之一
tpl.relic.battle_hardened.battle	Implemented	[战斗时] 攻击+2（仅对当前敌人有效）
tpl.relic.blood_shockwave.node_start	Implemented	[每关卡开始时] 将一张撞击教程放入道具牌格
tpl.relic.blood_shockwave.node_start_low_hp	Implemented	[每关卡开始时] 当前血量低于50%时再放入一张撞击教程
tpl.relic.craving.rule	Implemented	所有恢复血量效果翻倍
tpl.relic.dragon_scale_armor.rule	Implemented	所有怪物卡的攻击-1
tpl.relic.easy_road.node_end	Implemented	[每关卡结束时] 进行一次白色帮助卡三选一
tpl.relic.even_hatred.rule	Implemented	[战斗时] 若目标怪物卡等级为偶数，玩家造成双倍伤害
tpl.relic.gold_armor.rule	Implemented	[受到伤害时] 每5金币抵消1点当前护甲伤害
tpl.relic.gold_knife.kill	Implemented	[击杀怪物时] 获得2金币
tpl.relic.heavy_armor.node_start	Implemented	[每关卡开始时] 每有两点基础护甲，额外获得1点当前护甲
tpl.relic.junk_launcher.use	Implemented	[使用道具卡时] 对随机一张怪物卡造成2点伤害
tpl.relic.junk_coating.use	Implemented	[使用道具卡时] 获得1点当前护甲
tpl.relic.junk_recycler.use	Implemented	[使用道具卡时] 恢复2点血量
tpl.relic.junk_launcher.volley	Implemented	[使用帮助卡时] 对随机怪物连续造成2次2点伤害
tpl.relic.junk_slot_machine.use	Implemented	[使用帮助卡时] 随机触发九选一
tpl.relic.lucky_coin.boss_kill	Implemented	[击杀层主时] 将一张金币卡加入战斗卡组
tpl.relic.lucky_coin.elite_kill	Implemented	[击杀精英时] 将一张金币卡加入战斗卡组
tpl.relic.phoenix_feather.fatal	Implemented	[受到致命伤害时] 恢复50%血量并永久移除本遗物
tpl.relic.potion_bag.node_start	Implemented	[每关卡开始时] 将两张恢复药水加入到玩家侧卡组
tpl.relic.rotation_button.node_start	Implemented	[每关卡开始时] 将一张旋转轮放入道具牌格
tpl.relic.shield_knife.kill	Implemented	[击杀怪物时] 获得1点当前护甲
tpl.relic.sling.kill	Implemented	[击杀怪物时] 对随机一张怪物卡造成4点伤害
tpl.relic.swap_button.node_start	Implemented	[每关卡开始时] 将一张交换卡放入道具牌格
tpl.relic.thorn_skin.battle	Implemented	[战斗时] 对怪物卡造成等同于该怪物卡攻击的伤害
tpl.relic.throwing_knife_bag.node_start	Implemented	[每关卡开始时] 将两张飞刀加入到玩家侧卡组
tpl.relic.tower_child.node_start	Implemented	[每关卡开始时] 将一张倍增塔放入道具牌格
tpl.relic.wood_armor.base	Implemented	血量上限+2
tpl.relic.wood_armor.set	Implemented	木甲套装血量额外+8
tpl.relic.wood_shield.set	Implemented	木盾套装基础护甲额外+2
tpl.relic.wood_sword.base	Implemented	攻击+1
tpl.relic.wood_sword.set	Implemented	木剑套装攻击额外+2
tpl.shared.2.relic_hard_skin_node_end	Implemented	[每关卡结束时] 恢复10点血量
tpl.shared.2.skill_air_strike_slot1	Implemented	[场上] 移动到格1时对玩家造成2点伤害
tpl.shared.3.help_blue_chest_card_use	Implemented	[使用时] 从三个遗物中选择一个获得
tpl.shared.3.help_healing_spring_use	Implemented	[使用时] 直接移除本卡，不触发其他效果
tpl.shared.4.relic_dragon_scale_armor_base	Implemented	基础护甲+1
tpl.shared.5.relic_blood_shockwave_max_hp	Implemented	血量上限+4
tpl.skill.absorb_bone.remove	Implemented	正交相邻格怪物被移除时，获得该怪物移除前的攻击和护甲
tpl.skill.absorb.remove	Implemented	[场上] 正交相邻格每有一张怪物卡被移除，本卡从攻击+1/护甲+2/血量+4中随机获得一种
tpl.skill.absorb_stone.move	Implemented	[场上] 每次移动时，扣除相邻怪物卡全部护甲并使本卡获得等量护甲
