merged cards.json entries: 295
check1 parse: PASS
check2 coverage: PASS (missing=0 extra=0)
field coverage gaps: 0
check3 terms: PASS (bad=0)
check4 tokens: PASS (mismatch=0)
extra icon-codes: PASS (mismatch=0)
extra glossary-skill sync: PASS (mismatch=0)
check5 over-34-unit descriptions: 140 / 280
  by kind: ChoiceOption 1/8, Deck 4/4, HelpCard 6/24, Monster 2/45, Relic 31/56, Room 5/13, Skill 76/86, Trap 15/44
  OVER34: 225  deck.help_archive
  OVER34: 156  deck.ai_expansion
  OVER34: 148  deck.transition
  OVER34: 126  skill.holy_duel
  OVER34: 125  skill.ambush_melee
  OVER34: 107  skill.evade
  OVER34:  98  skill.world_as_neighbors
  OVER34:  98  skill.speed_up
  OVER34:  93  skill.leap_kill
  OVER34:  85  skill.stocking
  OVER34:  85  skill.ranged_weapon
  OVER34:  83  skill.rise_up
  OVER34:  83  skill.lord_of_death
  OVER34:  82  skill.violence_nutrition
  OVER34:  82  skill.mixed_bones
  OVER34:  80  skill.guide
  OVER34:  78  skill.assassin_leader
  OVER34:  76  deck.relic_archive
  OVER34:  75  skill.link_tactics
  OVER34:  71  skill.cloud_breath
  OVER34:  68  skill.fracture_fall_apart
  OVER34:  68  skill.delivery
  OVER34:  67  skill.fight_me
  OVER34:  65  skill.flame_breath
  OVER34:  63  trap.rolling_stone
  OVER34:  63  skill.otherworld_help
  OVER34:  63  skill.intense_burning
  OVER34:  63  relic.terror_mask
  OVER34:  62  skill.violence_maniac
  OVER34:  62  skill.throw_stone
  OVER34:  62  skill.absorb_bone
  OVER34:  62  relic.rotten_cleave_axe
  OVER34:  62  relic.foam_armor
  OVER34:  61  skill.strong_combo
  OVER34:  61  skill.stone_lover
  OVER34:  61  skill.steal
  OVER34:  61  skill.range_expand
  OVER34:  61  skill.hot_observation
  OVER34:  61  skill.hard
  OVER34:  61  skill.find_weakness
  OVER34:  61  skill.battle_hardened
  OVER34:  61  skill.absorb
  OVER34:  60  trap.offering_altar
  OVER34:  59  skill.fall_apart
  OVER34:  57  trap.leave
  OVER34:  56  skill.purge_followers
  OVER34:  54  skill.stone_growth
  OVER34:  54  skill.learning_growth
  OVER34:  54  skill.chant
  OVER34:  54  skill.call_melee6
  OVER34:  54  skill.attrition
  OVER34:  54  relic.forge_tool
  OVER34:  54  TreasureReward
  OVER34:  53  skill.flame_boiling
  OVER34:  53  ItemReward
  OVER34:  52  trap.gold_magnet
  OVER34:  52  skill.air_strike
  OVER34:  52  relic.still_watch
  OVER34:  52  relic.junk_launcher
  OVER34:  52  Elite
  OVER34:  51  skill.taunt
  OVER34:  50  skill.bloodthirst
  OVER34:  50  relic.thorn_mail
  OVER34:  50  relic.rotation_trick
  OVER34:  50  relic.punch_card_knife
  OVER34:  50  Attribute
  OVER34:  49  trap.revive_stone
  OVER34:  49  skill.endless_flame
  OVER34:  49  skill.absorb_stone
  OVER34:  49  relic.blood_burst
  OVER34:  49  monster.tide_ray
  OVER34:  48  trap.spike
  OVER34:  48  skill.smart
  OVER34:  48  skill.link_prep
  OVER34:  48  skill.link_armor
  OVER34:  48  skill.hoodlum
  OVER34:  48  skill.give_punch
  OVER34:  48  monster.forge_master
  OVER34:  47  trap.recovery_totem
  OVER34:  47  skill.link_attack_bonus
  OVER34:  47  skill.falling_rocks
  OVER34:  47  relic.junk_cycler
  OVER34:  46  skill.space_mastery
  OVER34:  45  trap.bear_trap
  OVER34:  45  skill.swallow_stone
  OVER34:  45  skill.stack_armor
  OVER34:  45  skill.recuperate
  OVER34:  45  skill.rascality
  OVER34:  45  skill.gear_delivery
  OVER34:  45  relic.heavy_armor
  OVER34:  45  relic.berserker_axe
  OVER34:  45  help.brutality_card
  OVER34:  44  trap.flame
  OVER34:  44  trap.echo_bell
  OVER34:  44  skill.relentless_chase
  OVER34:  43  skill.stray_cub
  OVER34:  43  skill.sacrifice
  OVER34:  43  skill.rolling_crush
  OVER34:  43  skill.recombine_body
  OVER34:  43  skill.random_walk
  OVER34:  43  relic.throwing_knife_bag
  OVER34:  43  relic.rotation_button
  OVER34:  43  relic.potion_bag
  OVER34:  42  trap.storm_totem
  OVER34:  42  relic.beyond_dimension
  OVER34:  42  help.swap_card
  OVER34:  42  help.impact_tutorial
  OVER34:  41  skill.death_summon
  OVER34:  41  relic.trap_cell
  OVER34:  41  relic.slag_recycler
  OVER34:  41  relic.iron_shield
  OVER34:  41  help.kidnapping
  OVER34:  40  relic.rpm_engine
  OVER34:  40  relic.metal_blood
  OVER34:  40  help.teleport_card
  OVER34:  39  skill.fire_power
  OVER34:  38  skill.stone_shelter
  OVER34:  38  skill.orc_tactics
  OVER34:  38  skill.call_followers
  OVER34:  38  relic.sling
  OVER34:  38  relic.lucky_coin
  OVER34:  38  relic.junk_amplifier
  OVER34:  38  relic.golden_coffer
  OVER34:  38  help.magnet_anchor
  OVER34:  37  skill.gift
  OVER34:  37  relic.body_potential
  OVER34:  37  relic.blood_cycle
  OVER34:  37  RefreshShop
  OVER34:  36  trap.hourglass
  OVER34:  36  skill.sharp_stone
  OVER34:  36  skill.recombine_head
  OVER34:  36  skill.first_strike
  OVER34:  36  relic.wood_shield
  OVER34:  36  relic.sharp_longsword
  OVER34:  36  Boss
  OVER34:  35  trap.tutorial.use_item
  OVER34:  35  trap.tutorial.early_leave
  OVER34:  35  trap.healing_spring
  OVER34:  35  skill.unstable
  OVER34:  35  relic.phoenix_feather
