file	hierarchy	component	active	text	classification	writer	translate	panel	font_guid
Assets/Scenes/MainScene.unity	UI面板/作弊工具BG/第一层主面板/添加遗物选项/作弊工具提示 (1)	TextMeshPro	1	添加遗物	运行时覆写	CheatToolPanelController	是	作弊工具	cdd0cda0e61ff35418bf0e0d5163c487
Assets/Scenes/MainScene.unity	UI面板/局内功能菜单BG/存档/读档模块/保存/text (1)	TextMeshPro	1	加载	静态标签	代码路径常量引用「存档/读档模块」	是	局内功能菜单	cb1d1a3d491188d4097d2022d71b5fed
Assets/Scenes/MainScene.unity	UI面板/右键描述/敌方描述专用BG/UI槽位/槽位2/Scroll View/Viewport/Content/详细效果信息1	TextMeshPro	0	字段介绍：	运行时覆写	CardInspectOverlayPresenter	是	右键详述	cdd0cda0e61ff35418bf0e0d5163c487
Assets/Scenes/MainScene.unity	UI面板/局内功能菜单BG/存档/读档模块/UI槽位/保存条目模板/text (3)	TextMeshPro	1	2026年7月24日19:39  兵大哥\n	模板占位	层级/对象名含「模板」	是	局内功能菜单	cb1d1a3d491188d4097d2022d71b5fed
Assets/Scenes/MainScene.unity	玩家信息/基础护甲/数值	TextMeshPro	1	1	运行时覆写	PlayerInfoHudPresenter	否(数字/符号)	其他	cb1d1a3d491188d4097d2022d71b5fed
Assets/Scenes/MainScene.unity	UI面板/右键描述/常规描述BG/UI槽位/Scroll View/Viewport/Content/详细效果信息1	TextMeshPro	0	字段介绍：	运行时覆写	CardInspectOverlayPresenter	是	右键详述	cdd0cda0e61ff35418bf0e0d5163c487
Assets/Scenes/MainScene.unity	Panels/MainPanel/TutorialRun/按钮文字	TextMeshPro	1	教  学	静态标签	标准世界文字实例，脚本未绑定写入	是	主菜单 MainPanel	cdd0cda0e61ff35418bf0e0d5163c487
Assets/Scenes/MainScene.unity	UI面板/作弊工具BG/第二层_log记录面板/InputField (TMP)/Text Area/Text	TextMeshProUGUI	1	顺劈斧攻击异常_接线冒烟​	运行时覆写	CheatToolPanelController	是	作弊工具	cdd0cda0e61ff35418bf0e0d5163c487
Assets/Scenes/MainScene.unity	UI面板/作弊工具BG/第二层_log记录面板/InputField (TMP)/Text Area/Placeholder	TextMeshProUGUI	1	描述问题，例如：顺劈斧攻击异常	模板占位	层级/对象名含「Placeholder」	是	作弊工具	cdd0cda0e61ff35418bf0e0d5163c487
Assets/Scenes/MainScene.unity	UI面板/局内功能菜单BG/功能模块/Light Controller/text (1)	TextMeshPro	1	按键控制	静态标签	脚本中未发现 FindTmp/路径绑定	是	局内功能菜单	cb1d1a3d491188d4097d2022d71b5fed
Assets/Scenes/MainScene.unity	UI面板/右键描述/常规描述BG/UI槽位/框1 (1)/牌组介绍	TextMeshPro	1	牌组归属	运行时覆写	CardInspectOverlayPresenter	是	右键详述	cdd0cda0e61ff35418bf0e0d5163c487
