avatar.default	玩家化身
help.armor_breaking_hammer	破击锤：[使用时] 将目标怪物卡护甲降低10点
help.bear_trap	捕熊陷阱：[场上] 当正交相邻格补牌为怪物卡时，对其造成10点伤害，之后移除本卡
help.blood_conversion	血液转换：[使用时] 扣除5点血量上限并随机获得攻击+1、护甲+1、50金币或随机遗物
help.blue_chest_card	蓝色宝箱卡：[使用时] 从三个遗物中选择一个获得
help.bomb	爆弹：[使用时] 对所有怪物卡造成4点伤害
help.brutality_card	暴力卡：[使用时] 玩家下一次对怪物造成的战斗伤害翻倍
help.common_chest_card	普通宝箱卡：[使用时] 从三个遗物中选择一个获得
help.doubling_tower	倍增塔：[场上] 处于格1时，对怪物卡使用的帮助卡触发两次；[道具牌格] 对玩家卡使用的帮助卡生效两次，触发后永久移除本卡
help.fireball	火球术：[使用时] 对目标怪物卡造成等同于玩家攻击的伤害
help.flame	烈焰：[使用时] 对玩家造成4点伤害并永久移除本卡
help.food_card	食品卡：[使用时] 将玩家卡血量回满
help.gold_card	金币卡：[使用时] 为玩家提供50金币
help.golden_chest_card	金色宝箱卡：[使用时] 从三个遗物中选择一个获得
help.healing_potion	恢复药水：[使用时] 恢复10点血量
help.healing_spring	治疗泉：[场上] 移动到玩家卡正交相邻格时，为玩家恢复2点血量；[道具牌格] 玩家与怪物战斗时，恢复1点血量；[使用时] 直接移除本卡，不触发其他效果
help.impact_tutorial	撞击教程：[使用时] 对目标怪物卡造成等同于玩家当前血量的伤害
help.kidnapping	绑票：[使用时] 移除一张非精英非层主怪物卡，并获得等同于其当前护甲的护甲
help.rolling_stone	滚石：[场上] 移动到格3时，若格6为非精英非层主怪物，则移除该怪物和本卡；[使用时] 直接移除本卡，不触发其他效果
help.rotation_wheel	旋转轮：[使用时] 逆时针旋转一次
help.shield_bash_tutorial	盾击教程：[使用时] 对目标怪物卡造成等同于玩家当前护甲的伤害
help.stat_boost_card	属性提升卡：[使用时] 选择攻击+1、护甲+1或血量上限与当前血量+2
help.sturdy_shield	耐用盾牌：[使用时] 玩家获得5点护甲
help.swap_card	交换卡：[使用时] 选择除玩家卡外的两张卡牌互换所在格子位置
help.teleport_card	传送卡：[使用时] 选择除玩家卡外的一张卡牌洗回战斗卡组
help.throwing_knife	飞刀：[使用时] 对目标怪物卡造成6点伤害
help.ward_magic_card	庇佑魔法卡：[使用时] 下一次玩家受到伤害时，该次伤害变为0
help.watchtower	瞭望塔：[场上] 移动到角格时，对随机怪物造成3点伤害；触发4次后移除本卡；[道具牌格] 玩家与怪物战斗时，对随机一张怪物卡造成2点伤害；[使用时] 直接移除本卡，不触发其他效果
monster.beggar	乞丐：每移动5次洗入乞丐
monster.big_orc	兽人大只佬：相邻玩家与其他怪物战斗时改为与本卡战斗
monster.big_skeleton	大骷髅：被移除时洗入骷髅头与无头骷髅
monster.big_skeleton_reborn	重组大骷髅
monster.big_stone	大石头：左列战斗时按损失护甲伤害玩家
monster.bone_club_skeleton	骨棒骷髅
monster.bone_courier	骨头快递员：每移动2次，将相邻帮助卡与战斗卡组怪物交换
monster.brainless_orc	无脑兽人：战斗时本卡攻击+2
monster.dragon_cult_leader	龙教主：每移动3次加入龙信徒
monster.dragon_follower	龙信徒：被移除时加入烈焰
monster.executioner	刽子手：每移动2次，移除九宫格上所有的龙信徒
monster.fire_bather	浴火者：有烈焰时攻击+4
monster.fire_cult_leader	火教主：每有一张烈焰加入战斗卡组，额外加入一张且不递归
monster.fire_dragon	火龙：每移动4次移除其他普通怪物并按数量加入烈焰；烈焰帮助卡造成的伤害+1
monster.fire_priest	火焰祭司：每有一张烈焰，本卡攻击+2
monster.fire_swallower	吞火者：左列战斗时按损失护甲伤害玩家
monster.friendly_ancient	友好的远古生物：每移动3次放旋转轮
monster.giant_skeleton	巨大骷髅：被移除时洗入多骨虫和等级2随机怪物
monster.growing_stone	增生石块：移动到左列时其他怪物获得2点护甲
monster.headless_skeleton	无头骷髅：相邻骷髅头组合
monster.hoodlum	混混：每次移动到格1时对玩家造成2点伤害
monster.killer	杀手：移动到玩家相邻格时强制战斗
monster.megalith	巨石人：每次移动吸取相邻怪物全部护甲；累计损失10护甲洗入石人
monster.mist	迷雾：每移动1次攻击+2
